TRADE NO 	DATETIME 	TYPE 	SYMBOL 	VOLUME 	OPEN PRICE 	CLOSE PRICE 	SWAP 	COMMISSION 	P&L
74357201 	2021-05-04 11:59 	BUY 	AUDUSD 	0.02 	0.7718 	0.77193 	0 	0 	0.21
74357327 	2021-05-04 14:35 	BUY 	NZDUSD 	0.02 	0.7142 	0.71476 	0 	0 	0.93
74357456 	2021-05-04 12:14 	BUY 	EURGBP 	0.01 	0.86529 	0.86575 	0 	0 	0.53
74357604 	2021-05-04 12:14 	SELL 	GBPAUD 	0.01 	1.79785 	1.79763 	0 	0 	0.14
74357686 	2021-05-04 13:51 	SELL 	GBPNZD 	0.01 	1.94295 	1.94255 	0 	0 	0.24
74357918 	2021-05-04 14:53 	BUY 	NZDCAD 	0.01 	0.87942 	0.87993 	0 	0 	0.34
74358002 	2021-05-04 23:46 	BUY 	NZDCHF 	0.02 	0.65369 	0.6548 	0 	0 	2.02
74368448 	2021-05-19 08:50 	BUY 	EURCHF 	0.02 	1.09875 	1.09929 	-0.3 	0 	0.98
74368496 	2021-05-04 14:27 	SELL 	EURNZD 	0.01 	1.6838 	1.68345 	0 	0 	0.21
74395522 	2021-05-04 16:11 	SELL 	XAUUSD 	0.01 	1794.2 	1793.43 	0 	0 	0.64
74395892 	2021-05-04 16:11 	BUY 	USDCHF 	0.01 	0.91177 	0.91211 	0 	0 	0.31
74396140 	2021-05-04 20:50 	SELL 	GBPAUD 	0.02 	1.80201 	1.80163 	0 	0 	0.49
74410031 	2021-05-04 18:07 	SELL 	EURAUD 	0.01 	1.56114 	1.56074 	0 	0 	0.26
74410184 	2021-05-04 17:54 	SELL 	GBPNZD 	0.01 	1.94721 	1.94655 	0 	0 	0.4
74418897 	2021-05-04 20:26 	BUY 	EURGBP 	0.01 	0.86478 	0.86499 	0 	0 	0.24
74418952 	2021-05-04 20:27 	SELL 	GBPJPY 	0.01 	151.843 	151.82 	0 	0 	0.17
74418997 	2021-05-04 21:16 	BUY 	NZDCAD 	0.01 	0.87914 	0.87956 	0 	0 	0.28
74422109 	2021-05-19 15:09 	BUY 	EURCAD 	0.02 	1.47845 	1.47919 	-3.34 	0 	1
74422133 	2021-05-06 11:35 	SELL 	GBPJPY 	0.02 	151.816 	151.802 	-0.33 	0 	0.21
74429285 	2021-05-05 09:36 	SELL 	GBPJPY 	0.02 	151.838 	151.784 	0 	0 	0.82
74429345 	2021-05-06 09:27 	BUY 	EURGBP 	0.01 	0.86501 	0.86557 	-0.11 	0 	0.65
74461719 	2021-05-05 09:12 	SELL 	GBPCHF 	0.01 	1.27298 	1.27232 	0 	0 	0.6
74461811 	2021-05-05 10:57 	SELL 	CADCHF 	0.02 	0.74514 	0.74508 	0 	0 	0.11
74461963 	2021-05-05 09:10 	SELL 	GBPCHF 	0.01 	1.27349 	1.27274 	0 	0 	0.69
74469750 	2021-06-17 08:30 	BUY 	USDCAD 	0.01 	1.22859 	1.22913 	0 	0 	0.37
74469827 	2021-05-06 03:41 	BUY 	EURAUD 	0.02 	1.55403 	1.55489 	-0.89 	0 	1.11
74469895 	2021-05-05 10:48 	BUY 	EURCAD 	0.01 	1.47424 	1.47453 	0 	0 	0.2
74470023 	2021-05-05 11:09 	BUY 	EURNZD 	0.02 	1.67333 	1.674 	0 	0 	0.8
74470182 	2021-05-05 14:32 	SELL 	CADJPY 	0.01 	88.991 	88.979 	0 	0 	0.09
74488660 	2021-05-05 21:29 	BUY 	EURCHF 	0.01 	1.09609 	1.09625 	0 	0 	0.15
74488724 	2021-05-06 03:49 	BUY 	EURNZD 	0.01 	1.66846 	1.66922 	-0.34 	0 	0.46
74488820 	2021-05-06 15:22 	SELL 	NZDJPY 	0.01 	78.622 	78.577 	-0.18 	0 	0.34
74514790 	2021-05-06 03:39 	SELL 	NZDUSD 	0.01 	0.7213 	0.72061 	-0.03 	0 	0.58
74514842 	2021-05-06 03:38 	BUY 	EURAUD 	0.01 	1.5496 	1.5507 	-0.45 	0 	0.71
74514863 	2021-05-06 03:39 	BUY 	EURNZD 	0.01 	1.66432 	1.6651 	-0.34 	0 	0.47
74514898 	2021-05-06 08:45 	BUY 	AUDNZD 	0.01 	1.07427 	1.07486 	-0.02 	0 	0.36
74534611 	2021-05-06 05:05 	SELL 	XAUUSD 	0.01 	1789.35 	1789.21 	0 	0 	0.12
74534722 	2021-05-06 07:04 	SELL 	USDJPY 	0.01 	109.345 	109.307 	0 	0 	0.29
74534750 	2021-05-06 04:45 	BUY 	AUDUSD 	0.02 	0.77145 	0.77217 	0 	0 	1.2
74534808 	2021-05-06 06:23 	BUY 	AUDCAD 	0.01 	0.94759 	0.94842 	0 	0 	0.56
74544278 	2021-05-06 07:18 	SELL 	XAUUSD 	0.01 	1791.95 	1791.69 	0 	0 	0.22
74544551 	2021-06-16 19:46 	BUY 	USDCAD 	0.01 	1.22636 	1.22699 	0 	0 	0.43
74544642 	2021-05-06 07:06 	SELL 	GBPJPY 	0.01 	152.036 	152.017 	0 	0 	0.15
74544732 	2021-05-06 07:19 	SELL 	XAGUSD 	0.01 	26.674 	26.644 	0 	0 	1.25
74553175 	2021-05-06 08:29 	SELL 	XAUUSD 	0.01 	1793.93 	1793.57 	0 	0 	0.3
74553259 	2021-06-17 08:20 	BUY 	USDCHF 	0.01 	0.91204 	0.91231 	1.68 	0 	0.25
74553449 	2021-05-06 09:54 	SELL 	CADJPY 	0.01 	89.186 	89.154 	0 	0 	0.24
74553511 	2021-05-06 08:33 	SELL 	XAGUSD 	0.01 	26.752 	26.721 	0 	0 	1.29
74562582 	2021-05-06 10:15 	BUY 	USDCHF 	0.01 	0.9104 	0.91069 	0 	0 	0.27
74562641 	2021-05-06 10:11 	SELL 	XAUUSD 	0.01 	1793.81 	1793.46 	0 	0 	0.29
